 x1,x2, x3, x4, x5, x6, x7,ÈËÊý
-3.38,-1.66,2.01,1.15,-1.65,3.03,0.2,-1.18283
-3.38,-1.67,2.01,1.2,-1.63,3.03,0.2,-1.42878
-3.38,-1.67,2.01,1.22,-1.63,3.03,0.2,2.12383
-3.38,-1.67,2.01,1.24,-1.63,3.03,0.2,0.3202
-3.38,-1.68,2.01,1.27,-1.62,3.03,0.2,0.78477
-3.38,-1.68,2,1.31,-1.61,3.03,0.2,-1.48343
-3.38,-1.69,2,1.39,-1.6,3.04,0.19,0.07425
-3.38,-1.69,2,1.41,-1.59,3.04,0.19,-0.52696
-3.38,-1.69,2,1.43,-1.59,3.04,0.19,0.01959
-3.38,-1.7,2,1.46,-1.58,3.04,0.19,-1.08718
-3.38,-1.7,2,1.47,-1.58,3.04,0.19,-1.56542
-3.38,-1.7,2,1.47,-1.58,3.04,0.19,0.42951
-3.38,-1.7,2,1.5,-1.57,3.04,0.19,0.83943
-3.38,-1.71,2,1.54,-1.57,3.04,0.19,0.23822
-3.38,-1.71,2,1.54,-1.56,3.04,0.19,0.29287
-3.38,-1.71,1.99,1.58,-1.56,3.04,0.19,-0.41765
-3.38,-1.71,1.99,1.58,-1.56,3.04,0.19,0.79844
-3.38,-1.71,1.99,1.59,-1.56,3.04,0.19,0.77111
-3.38,-1.71,1.99,1.59,-1.55,3.04,0.19,0.82576
-3.38,-1.71,1.99,1.6,-1.55,3.04,0.19,-0.49963
-3.38,-1.71,1.99,1.61,-1.55,3.04,0.19,0.18356
-3.38,-1.72,1.99,1.62,-1.55,3.04,0.19,0.34753
-3.38,-1.72,1.99,1.63,-1.55,3.04,0.19,0.30654
-3.38,-1.72,1.99,1.64,-1.54,3.05,0.18,2.02818
-3.39,-1.72,1.99,1.65,-1.54,3.05,0.18,1.83689
-3.39,-1.73,1.99,1.72,-1.53,3.05,0.18,-0.08972
-3.39,-1.73,1.99,1.75,-1.52,3.05,0.18,-0.22636
-3.39,-1.74,1.98,1.81,-1.51,3.05,0.18,0.18356
-3.39,-1.74,1.98,1.81,-1.51,3.05,0.18,2.50642
-3.39,-1.74,1.98,1.82,-1.51,3.05,0.18,0.78477
-3.39,-1.74,1.98,1.84,-1.5,3.05,0.18,-1.42878
-3.39,-1.74,1.98,1.86,-1.5,3.05,0.18,-0.29468
-3.39,-1.76,1.98,2.01,-1.47,3.06,0.17,-0.93688
-3.15,-0.68,0.09,-2.36,0.5,1.92,-0.23,0.55249
-3.15,-0.69,0.09,-2.29,0.52,1.92,-0.23,-0.15804
-3.15,-0.7,0.09,-2.25,0.53,1.93,-0.24,-1.48343
-3.15,-0.7,0.09,-2.23,0.53,1.93,-0.24,-0.88222
-3.15,-0.7,0.09,-2.22,0.53,1.93,-0.24,-1.53809
-3.15,-0.7,0.09,-2.22,0.53,1.93,-0.24,-1.53809
-3.15,-0.7,0.09,-2.21,0.54,1.93,-0.24,0.01959
-3.15,-0.7,0.08,-2.18,0.54,1.93,-0.24,-0.0214
-3.15,-0.7,0.08,-2.18,0.54,1.93,-0.24,-0.8139
-3.15,-0.71,0.08,-2.17,0.54,1.93,-0.24,-1.18283
-3.15,-0.71,0.08,-2.14,0.55,1.93,-0.24,-0.5133
-3.15,-0.72,0.08,-2.07,0.57,1.93,-0.24,0.3202
-3.15,-0.72,0.08,-2,0.58,1.93,-0.24,0.12891
-3.15,-0.73,0.08,-1.99,0.58,1.93,-0.24,-0.30834
-3.15,-0.73,0.07,-1.94,0.59,1.94,-0.24,-0.58162
-3.15,-0.75,0.07,-1.82,0.62,1.94,-0.25,0.23822
-3.15,-0.75,0.07,-1.82,0.62,1.94,-0.25,-0.30834
-3.15,-0.75,0.07,-1.78,0.63,1.94,-0.25,-0.30834
-3.15,-0.75,0.07,-1.74,0.63,1.94,-0.25,-0.19903
-3.15,-0.76,0.07,-1.71,0.64,1.94,-0.25,-0.64994
-3.15,-0.76,0.06,-1.68,0.65,1.94,-0.25,0.18356
-3.15,-0.76,0.06,-1.66,0.65,1.94,-0.25,-0.6636
-3.15,-0.77,0.06,-1.61,0.66,1.95,-0.25,-0.14437
-3.15,-0.77,0.06,-1.57,0.67,1.95,-0.26,-1.55175
-3.15,-0.77,0.06,-1.56,0.67,1.95,-0.26,-1.51076
-3.15,-0.78,0.06,-1.54,0.68,1.95,-0.26,-0.60894
-3.15,-0.78,0.06,-1.53,0.68,1.95,-0.26,0.03326
-3.15,-0.78,0.06,-1.52,0.68,1.95,-0.26,-0.06239
-3.15,-0.78,0.06,-1.51,0.68,1.95,-0.26,-1.53809
-3.15,-0.78,0.06,-1.5,0.68,1.95,-0.26,-0.11704
-3.15,-0.78,0.06,-1.49,0.68,1.95,-0.26,-1.51076
-3.15,-0.78,0.06,-1.48,0.69,1.95,-0.26,-0.74558
-3.15,-0.78,0.06,-1.48,0.69,1.95,-0.26,-0.22636
-3.16,-0.79,0.05,-1.41,0.7,1.95,-0.26,0.10158
-3.16,-0.79,0.05,-1.39,0.71,1.95,-0.26,0.07425
-3.16,-0.8,0.05,-1.38,0.71,1.95,-0.26,-0.63627
-3.16,-0.8,0.05,-1.34,0.72,1.95,-0.26,-1.56542
-3.16,-0.8,0.05,-1.33,0.72,1.95,-0.26,-0.19903
-3.16,-0.8,0.05,-1.32,0.72,1.95,-0.26,-0.44498
-3.16,-0.8,0.05,-1.3,0.72,1.95,-0.26,-1.53809
-3.16,-0.81,0.05,-1.29,0.73,1.96,-0.26,0.00593
-3.16,-0.81,0.05,-1.27,0.73,1.96,-0.27,-0.22636
-3.16,-0.81,0.05,-1.26,0.73,1.96,-0.27,-0.93688
-3.16,-0.81,0.05,-1.25,0.74,1.96,-0.27,-0.85489
-3.16,-0.81,0.04,-1.22,0.74,1.96,-0.27,-0.36299
-3.16,-0.82,0.04,-1.12,0.76,1.96,-0.27,0.55249
-3.16,-0.83,0.04,-1.06,0.77,1.96,-0.27,-0.25368
-3.16,-0.84,0.04,-1.01,0.78,1.96,-0.27,-0.14437
-3.16,-0.84,0.03,-0.95,0.8,1.97,-0.28,1.09904
-3.16,-0.84,0.03,-0.94,0.8,1.97,-0.28,0.59348
-3.16,-0.87,0.03,-0.75,0.84,1.97,-0.28,1.46797
-3.16,-0.87,0.02,-0.74,0.84,1.97,-0.28,0.59348
-3.16,-0.87,0.02,-0.71,0.85,1.97,-0.28,0.04692
-3.16,-0.88,0.02,-0.64,0.86,1.98,-0.28,-0.77291
-3.16,-0.88,0.02,-0.61,0.87,1.98,-0.29,0.1699
-3.16,-0.88,0.02,-0.59,0.87,1.98,-0.29,-0.71826
-3.16,-0.89,0.02,-0.57,0.88,1.98,-0.29,0.41585
-3.16,-0.89,0.02,-0.55,0.88,1.98,-0.29,2.5884
-3.16,-0.89,0.02,-0.53,0.88,1.98,-0.29,1.27667
-3.16,-0.89,0.02,-0.51,0.89,1.98,-0.29,3.66785
-3.16,-0.89,0.02,-0.51,0.89,1.98,-0.29,0.98973
-3.16,-0.89,0.02,-0.51,0.89,1.98,-0.29,0.22455
-3.16,-0.9,0.01,-0.5,0.89,1.98,-0.29,1.27667
-3.16,-0.9,0.01,-0.49,0.89,1.98,-0.29,1.1127
-3.17,-0.9,0.01,-0.45,0.9,1.98,-0.29,0.04692
-3.17,-0.91,0.01,-0.37,0.92,1.98,-0.29,1.35865
-3.17,-0.91,0.01,-0.35,0.92,1.98,-0.29,1.91887
-3.17,-0.91,0.01,-0.35,0.92,1.98,-0.29,-0.19903
-3.17,-0.92,0.01,-0.31,0.93,1.99,-0.3,0.08791
-3.17,-0.92,0.01,-0.3,0.93,1.99,-0.3,-0.47231
-3.17,-0.92,0.01,-0.29,0.93,1.99,-0.3,2.5884
-3.17,-0.92,0.01,-0.29,0.93,1.99,-0.3,1.95987
-3.17,-0.92,0,-0.23,0.94,1.99,-0.3,-1.45611
-3.17,-0.93,0,-0.18,0.95,1.99,-0.3,0.74378
-3.17,-0.93,0,-0.16,0.96,1.99,-0.3,0.10158
-3.17,-0.93,0,-0.16,0.96,1.99,-0.3,-1.53809
-3.17,-0.93,0,-0.15,0.96,1.99,-0.3,-1.55175
